FLD-SPA	Field Spaniel		spaniel		
FIN-HND	Finnish Hound	Fin Tazısı	hound		
FINKEE	Finnish Keeshond				
FINSPI	Finnish Spitz				
FINSTO	Finnish Stovare				
FCOAT-RET	Flat-Coated Retriever		retriever		
FOX-TER-SMO	Fox Terrier (Smooth)		terrier		
FOX-TER-WR	Fox Terrier (Wire)		terrier		
FR-BUL	French Bulldog	Fransız Bulldog			
FR-MAS	French Mastiff	Fransız Mastiffi	mastiff		
FR-SPA	French Spaniel		spaniel		
GER-HNT-TER	German Hunting Terrier	Alman Av Terrieri	terrier		
GER-SET	German Setter				
GER-SHP	German Sheepdog	Alman Çoban Köpeği	sheepdog		
GER-SHAIR-POI	German Short-haired Pointer	Alman Kısa Tüylü Pointer	pointer		
GER-SPA	German Spaniel	Alman Spanieli	spaniel		
GER-WHAIR-POI	German Wirehaired Pointer	Alman Kalın Tüylü Pointer	pointer		
GIA-SCHNA	Giant Schnauzer	Dev Schnauzer			
GLEN-TER	Glen of Imaal Terrier		terrier		
GLD-RET	Golden Retriever		retriever		
GOR-SET	Gordon Setter				
GRD-GAS	Grand bleu de Gascogne			France	
GRD-GAS-SAI	Grand Gascon Saintongeois				
GRDANE	Great Dane	Danua			
GRPHY	Great Phyreness *				
GRSWI-MOU	Greater Swiss Mountain Dog	Büyük İsviçre Dağ Köpeği		Switzerland	
GRN-HND	Greenland Hound	Grönland Köpeği	hound		
GRIF-BRUX	Griffon Bruxellois	Brüksel Griffonu		Belgium	
GRIF-NIVER	Griffon Nivernais			France	
BELG-SHEP	Groenendael (Belgian Shepherd Dog)	Belçika Groenendael	shepherd		
HAMISTO	Hamilton Stovare				
HANO-HND	Hanover Hound	Hanover Tazısı	hound		
HARRIER	Harrier				
HEIDE	Heidewachtel				
HOVAW	Hovawart				
IBIZ-HND	Ibizan Hound		hound		
ICELND	Icelandic Sheepdog	İzlanda Köpeği	sheepdog	Iceland	
IRIS-SET	Irish Setter	İrlandalı Setter			
IRIS-TER	Irish Terrier	İrlandalı Terrier	terrier		
IRIS-WTR-SPA	Irish Water Spaniel	İrlandalı Su Spanieli	spaniel		
IRIS-WLH	Irish Wolfhound	İrlandalı Kurt Tazısı	hound		
ITA-GRH	Italian Greyhound	İtalyan Tazısı	hound		
ITA-MAS	Italian Mastiff	İtalyan Mastiff	mastiff		
ITA-POI	Italian Pointer		pointer		
JACKRUS-TER	Jack Russell Terrier		terrier		
JAMTH	Jamthund				
JPN-CHIN	Japanese Chin	Japon Chin			
KANAAN	Kanaan Dog				
KAREL-BR	Karelian Bear Dog	Karelya Ayı Köpeği		Finland	
KRST-SHEP	Karst Shepherd	Karst Çoban Köpeği	shepherd	Slovenia	
KEESH	Keeshond				
KELP	Kelpie				
KRRBLU-TER	Kerry Blue Terrier		terrier		
KNG-SPA	King Charles Spaniel		spaniel		
KISHU	Kishu	Kyüshü			
KMNDR	Komondor				
KUVASZ	Kuvasz				
LAB-RET	Labrador Retriever		retriever		
LAEKE	Laekenois (Belgian Shepherd Dog)	Belçika Laekenois	shepherd	Belgium	
LAIKA	Laika				
LAKE-TER	Lakeland Terrier		terrier		
LANDS	Landseer				
LAPLND	Lapland Dog				
LAPPH	Lapphund				
LAPPO	Lapponian Herder	Lapponian Çoban Köpeği		Finland	
LNBERG	Leonberger				
LHASA	Lhasa Apso				
LIOND	Lion Dog				
LHAIR-DACH	Long-haired Dachshund				
LOWCHEN	Löwchen (Little Lion Dog)			France, Germany	
LUNDE	Lundehund				
MAGYAGA	Magyar Agar				
MALTESER	Malteser Dog	Maltese			
MAN-TER	Manchester Terrier		terrier		
